current_image,is_repeat,trial_index,is_blank_trial,is_new_run,run_num,sess_num,previous_image,is_not_last_trial,all_blanks_list
stimuli_labeled/coco_nonshared_650__ancient_wooden_utensils.jpg,0,0,0,0,12,2,blank,1,"[11, 20, 35]"
stimuli_labeled/coco_shared_970__small_white_bathroom.jpg,0,1,0,0,12,2,"ancient
wooden
utensils",1,"[11, 20, 35]"
stimuli_labeled/coco_nonshared_25009__woman_holding_stuffedanimal.jpg,0,2,0,0,12,2,"small
white
bathroom",1,"[11, 20, 35]"
stimuli_labeled/coco_nonshared_13108__motorcyclist_passing_bicycles.jpg,0,3,0,0,12,2,"woman
holding
stuffedanimal",1,"[11, 20, 35]"
stimuli_labeled/coco_nonshared_66908__childrens_bedtime_scene.jpg,0,4,0,0,12,2,"motorcyclist
passing
bicycles",1,"[11, 20, 35]"
stimuli_labeled/coco_shared_272__broadway_street_sign.jpg,0,5,0,0,12,2,"childrens
bedtime
scene",1,"[11, 20, 35]"
stimuli_labeled/coco_shared_828__vintage_steam_locomotive.jpg,0,6,0,0,12,2,"broadway
street
sign",1,"[11, 20, 35]"
stimuli_labeled/coco_shared_661__child_eating_bagel.jpg,0,7,0,0,12,2,"vintage
steam
locomotive",1,"[11, 20, 35]"
stimuli_labeled/coco_nonshared_52175__window_bed_tree.jpg,0,8,0,0,12,2,"child
eating
bagel",1,"[11, 20, 35]"
stimuli_labeled/target2__orange_crate_fruit_shop.jpg,0,9,0,0,12,2,"window
bed
tree",1,"[11, 20, 35]"
stimuli_labeled/coco_nonshared_69063__horse_bicycle_intersection.jpg,0,10,0,0,12,2,"orange
crate
fruit
shop",1,"[11, 20, 35]"
blank.jpg,0,11,1,0,12,2,"horse
bicycle
intersection",1,"[11, 20, 35]"
stimuli_labeled/coco_shared_480__garden_park_bench.jpg,0,12,0,0,12,2,blank,1,"[11, 20, 35]"
stimuli_labeled/coco_shared_648__cozy_living_room.jpg,0,13,0,0,12,2,"garden
park
bench",1,"[11, 20, 35]"
stimuli_labeled/coco_shared_341__messy_computer_desk.jpg,0,14,0,0,12,2,"cozy
living
room",1,"[11, 20, 35]"
stimuli_labeled/coco_nonshared_19905__busy_new_york_intersection.jpg,0,15,0,0,12,2,"messy
computer
desk",1,"[11, 20, 35]"
stimuli_labeled/coco_shared_570__man_eating_outdoors.jpg,0,16,0,0,12,2,"busy
new
york
intersection",1,"[11, 20, 35]"
stimuli_labeled/coco_shared_898__striped_alert_cat.jpg,0,17,0,0,12,2,"man
eating
outdoors",1,"[11, 20, 35]"
stimuli_labeled/coco_nonshared_20250__storefront_shoe_display.jpg,0,18,0,0,12,2,"striped
alert
cat",1,"[11, 20, 35]"
stimuli_labeled/coco_nonshared_43641__colorful_spiked_rainsticks.jpg,0,19,0,0,12,2,"storefront
shoe
display",1,"[11, 20, 35]"
blank.jpg,0,20,1,0,12,2,"colorful
spiked
rainsticks",1,"[11, 20, 35]"
stimuli_labeled/coco_shared_283__ancient_stone_tower.jpg,0,21,0,0,12,2,blank,1,"[11, 20, 35]"
stimuli_labeled/extra11__happy_smiling_dog.jpg,0,22,0,0,12,2,"ancient
stone
tower",1,"[11, 20, 35]"
stimuli_labeled/coco_shared_938__potted_plant_clock.jpg,0,23,0,0,12,2,"happy
smiling
dog",1,"[11, 20, 35]"
stimuli_labeled/coco_shared_849__man_with_beard.jpg,0,24,0,0,12,2,"potted
plant
clock",1,"[11, 20, 35]"
stimuli_labeled/coco_shared_597__man_feeding_dog.jpg,0,25,0,0,12,2,"man
with
beard",1,"[11, 20, 35]"
stimuli_labeled/coco_shared_212__train_station_tracks.jpg,0,26,0,0,12,2,"man
feeding
dog",1,"[11, 20, 35]"
stimuli_labeled/coco_shared_216__park_path_people.jpg,0,27,0,0,12,2,"train
station
tracks",1,"[11, 20, 35]"
stimuli_labeled/coco_shared_307__highway_road_sign.jpg,0,28,0,0,12,2,"park
path
people",1,"[11, 20, 35]"
stimuli_labeled/coco_nonshared_15900__person_falling_midair.jpg,0,29,0,0,12,2,"highway
road
sign",1,"[11, 20, 35]"
stimuli_labeled/coco_nonshared_36334__red_outdoor_umbrellas.jpg,0,30,0,0,12,2,"person
falling
midair",1,"[11, 20, 35]"
stimuli_labeled/coco_shared_510__yellow_train_station.jpg,0,31,0,0,12,2,"red
outdoor
umbrellas",1,"[11, 20, 35]"
stimuli_labeled/coco_shared_863__hightech_computer_workspace.jpg,0,32,0,0,12,2,"yellow
train
station",1,"[11, 20, 35]"
stimuli_labeled/coco_nonshared_20320__dog_cat_cuddle.jpg,0,33,0,0,12,2,"hightech
computer
workspace",1,"[11, 20, 35]"
stimuli_labeled/extra43__man_drinking_coffee.jpg,0,34,0,0,12,2,"dog
cat
cuddle",1,"[11, 20, 35]"
blank.jpg,0,35,1,1,12,2,"man
drinking
coffee",0,"[11, 20, 35]"
