current_image,is_repeat,trial_index,is_blank_trial,is_new_run,run_num,sess_num,previous_image,is_not_last_trial,all_blanks_list
stimuli_labeled/coco_shared_990__boat_on_beach.jpg,0,0,0,0,9,1,blank,1,"[11, 22, 35]"
stimuli_labeled/coco_shared_283__ancient_stone_tower.jpg,0,1,0,0,9,1,"boat
on
beach",1,"[11, 22, 35]"
stimuli_labeled/target2__orange_crate_fruit_shop.jpg,0,2,0,0,9,1,"ancient
stone
tower",1,"[11, 22, 35]"
stimuli_labeled/coco_shared_208__ornate_clock_facade.jpg,0,3,0,0,9,1,"orange
crate
fruit
shop",1,"[11, 22, 35]"
stimuli_labeled/coco_shared_661__child_eating_bagel.jpg,0,4,0,0,9,1,"ornate
clock
facade",1,"[11, 22, 35]"
stimuli_labeled/coco_shared_519__book_on_blanket.jpg,0,5,0,0,9,1,"child
eating
bagel",1,"[11, 22, 35]"
stimuli_labeled/coco_shared_849__man_with_beard.jpg,0,6,0,0,9,1,"book
on
blanket",1,"[11, 22, 35]"
stimuli_labeled/coco_shared_867__church_clock_towers.jpg,0,7,0,0,9,1,"man
with
beard",1,"[11, 22, 35]"
stimuli_labeled/coco_shared_159__dog_frisbee_grass.jpg,0,8,0,0,9,1,"church
clock
towers",1,"[11, 22, 35]"
stimuli_labeled/coco_nonshared_9071__dog_under_desk.jpg,0,9,0,0,9,1,"dog
frisbee
grass",1,"[11, 22, 35]"
stimuli_labeled/coco_shared_895__bench_on_path.jpg,0,10,0,0,9,1,"dog
under
desk",1,"[11, 22, 35]"
blank.jpg,0,11,1,0,9,1,"bench
on
path",1,"[11, 22, 35]"
stimuli_labeled/coco_nonshared_68738__busy_new_york_intersection.jpg,0,12,0,0,9,1,blank,1,"[11, 22, 35]"
stimuli_labeled/coco_shared_415__professional_bespectacled_man.jpg,0,13,0,0,9,1,"busy
new
york
intersection",1,"[11, 22, 35]"
stimuli_labeled/coco_shared_450__bookshelf_chairs_tiles.jpg,0,14,0,0,9,1,"professional
bespectacled
man",1,"[11, 22, 35]"
stimuli_labeled/extra49__smiling_sitting_elderly.jpg,0,15,0,0,9,1,"bookshelf
chairs
tiles",1,"[11, 22, 35]"
stimuli_labeled/coco_shared_990__boat_on_beach.jpg,1,16,0,0,9,1,"smiling
sitting
elderly",1,"[11, 22, 35]"
stimuli_labeled/coco_shared_395__urban_traffic_intersection.jpg,0,17,0,0,9,1,"boat
on
beach",1,"[11, 22, 35]"
stimuli_labeled/coco_shared_240__cat_in_suitcase.jpg,0,18,0,0,9,1,"urban
traffic
intersection",1,"[11, 22, 35]"
stimuli_labeled/coco_shared_991__cyclists_crossing_intersection.jpg,0,19,0,0,9,1,"cat
in
suitcase",1,"[11, 22, 35]"
stimuli_labeled/coco_nonshared_7918__busy_new_york_subway.jpg,0,20,0,0,9,1,"cyclists
crossing
intersection",1,"[11, 22, 35]"
stimuli_labeled/coco_shared_871__ornate_astronomical_clock.jpg,0,21,0,0,9,1,"busy
new
york
subway",1,"[11, 22, 35]"
blank.jpg,0,22,1,0,9,1,"ornate
astronomical
clock",1,"[11, 22, 35]"
stimuli_labeled/coco_shared_396__messy_coffee_table.jpg,0,23,0,0,9,1,blank,1,"[11, 22, 35]"
stimuli_labeled/coco_shared_352__narrow_italian_alleyway.jpg,0,24,0,0,9,1,"messy
coffee
table",1,"[11, 22, 35]"
stimuli_labeled/coco_nonshared_15592__dog_computer_mug.jpg,0,25,0,0,9,1,"narrow
italian
alleyway",1,"[11, 22, 35]"
stimuli_labeled/coco_shared_486__pond_bench_reflection.jpg,0,26,0,0,9,1,"dog
computer
mug",1,"[11, 22, 35]"
stimuli_labeled/coco_shared_373__colorful_beach_umbrella.jpg,0,27,0,0,9,1,"pond
bench
reflection",1,"[11, 22, 35]"
stimuli_labeled/coco_shared_177__pensive_greenshirt_man.jpg,0,28,0,0,9,1,"colorful
beach
umbrella",1,"[11, 22, 35]"
stimuli_labeled/extra9__mustache_necklace_tanktop.jpg,0,29,0,0,9,1,"pensive
greenshirt
man",1,"[11, 22, 35]"
stimuli_labeled/coco_shared_945__red_london_bus.jpg,0,30,0,0,9,1,"mustache
necklace
tanktop",1,"[11, 22, 35]"
stimuli_labeled/coco_shared_364__yawning_kitchen_person.jpg,0,31,0,0,9,1,"red
london
bus",1,"[11, 22, 35]"
stimuli_labeled/coco_shared_507__man_holding_pastry.jpg,0,32,0,0,9,1,"yawning
kitchen
person",1,"[11, 22, 35]"
stimuli_labeled/coco_nonshared_51383__suited_man_briefcases.jpg,0,33,0,0,9,1,"man
holding
pastry",1,"[11, 22, 35]"
stimuli_labeled/coco_nonshared_31556__steaming_street_barrier.jpg,0,34,0,0,9,1,"suited
man
briefcases",1,"[11, 22, 35]"
blank.jpg,0,35,1,1,9,1,"steaming
street
barrier",0,"[11, 22, 35]"
